Name, Website, Pubs
Michael Backes 0001, https://cispa.de/en/people/backes, 40
Yang Zhang 0016, https://yangzhangalmo.github.io/, 33
Michael Schwarz 0001, https://cispa.de/en/people/c02misc, 26
Thorsten Holz, http://syssec.rub.de/~tho, 23
Sascha Fahl, https://saschafahl.de/, 21
Cas Cremers, https://cispa.saarland/people/cas.cremers, 15
Katharina Krombholz, https://cispa.saarland/people/katharina.krombholz, 14
Christian Rossow, https://christian-rossow.de/, 12
Ben Stock, https://people.cispa.io/ben.stock, 12
Giancarlo Pellegrino, https://people.cispa.io/giancarlo.pellegrino, 11
Mario Fritz, https://cispa.saarland/people/gallery, 10
Maximilian Golla, https://maximiliangolla.com/, 10
Julian Loss, https://www.julianloss.com/, 9
Ali Abbasi 0002, https://ali-abbasi.info/, 8
Lucjan Hanzlik, https://cispa.saarland/people/lucjan.hanzlik, 8
Cristian-Alexandru Staicu, https://www.staicu.org/, 8
Sven Bugiel, https://trust.cispa.saarland/~bugiel, 7
Nils Ole Tippenhauer, https://cispa.saarland/people/nils.tippenhauer, 6
Wouter Lueks, https://wouterlueks.nl/, 3
Nico Döttling, https://cispa.saarland/people/nico.doettling, 2
Aurore Fass, https://aurore54f.github.io/, 2
Lea Schönherr, https://leaschoenherr.me/, 2
Mridula Singh, https://cispa.de/en/people/c01mrsi, 2
Franziska Boenisch, https://franziska-boenisch.de/, 1
Andreas Zeller, https://andreas-zeller.info/, 1
Daniel Genkin, https://faculty.cc.gatech.edu/~genkin, 30
Wenke Lee, http://wenke.gtisc.gatech.edu/, 23
Taesoo Kim, https://taesoo.gtisc.gatech.edu/, 22
Frank Li 0001, https://frankli.ece.gatech.edu/, 11
Brendan Saltaformaggio, https://saltaformaggio.ece.gatech.edu/, 11
Raheem A. Beyah, https://rbeyah.ece.gatech.edu/, 10
Paul Pearce, https://www.cc.gatech.edu/~pearce, 9
Manos Antonakakis, https://sites.google.com/site/antonakakis, 7
Michael D. Bailey, https://faculty.cc.gatech.edu/~mbailey, 7
Vladimir Kolesnikov, https://www.scs.gatech.edu/people/vladimir-kolesnikov, 7
Fabian Monrose, https://fabianmonrose.github.io/, 7
Angelos D. Keromytis, https://angelosk.github.io/, 3
Mustaque Ahamad, http://www.cc.gatech.edu/~mustaq, 2
Alberto Dainotti, https://www.cc.gatech.edu/~adainotti6, 2
Ling Liu 0001, http://www.cc.gatech.edu/~lingliu, 2
Tucker R. Balch, http://www.cc.gatech.edu/home/tucker, 1
Alexandra Boldyreva, http://www.cc.gatech.edu/~aboldyre, 1
