Name, Website, Pubs
XiaoFeng Wang 0001, http://www.informatics.indiana.edu/xw7, 45
Michael Backes 0001, https://cispa.de/en/people/backes, 40
Min Yang 0002, http://www.cs.fudan.edu.cn/?page_id=2665###, 40
Shouling Ji, http://person.zju.edu.cn/sji, 38
Qi Li 0002, https://www.cs.tsinghua.edu.cn/publish/csen/4623/2020/20200105201627634466124/20200105201627634466124_.html, 36
Zhiqiang Lin, http://web.cse.ohio-state.edu/~lin.3021, 35
Yang Zhang 0016, https://yangzhangalmo.github.io/, 33
Hai-Xin Duan, https://netsec.ccert.edu.cn/duanhx, 33
Mathias Payer, https://nebelwelt.net/, 31
Xiapu Luo, https://www4.comp.polyu.edu.hk/~csxluo, 31
Daniel Genkin, https://faculty.cc.gatech.edu/~genkin, 30
Zhiyun Qian, http://www.cs.ucr.edu/~zhiyunq, 30
Wenyuan Xu 0001, https://person.zju.edu.cn/en/wyxu, 28
Chao Zhang 0008, https://www.cs.tsinghua.edu.cn/info/1127/3590.htm, 28
Xinyu Xing, http://xinyuxing.org/, 28
Yasemin Acar, https://yaseminacar.de/, 28
Daniel Gruss, https://gruss.cc/, 28
Yinqian Zhang, http://yinqian.org/, 28
Michael Schwarz 0001, https://cispa.de/en/people/c02misc, 26
Xiangyu Zhang 0001, https://www.cs.purdue.edu/homes/xyzhang, 26
Yuval Yarom, https://yuval.yarom.org/, 26
Michelle L. Mazurek, https://www.umiacs.umd.edu/~mmazurek, 26
Giovanni Vigna, https://www.cs.ucsb.edu/~vigna, 26
Ting Wang 0006, https://alps-lab.github.io/, 25
Adam Doupé, http://adamdoupe.com/, 25
Christopher Krügel, http://www.cs.ucsb.edu/~chris, 25
Kangjie Lu, https://www.cs.umn.edu/people/kangjie-lu, 25
Kai Chen 0012, http://www.kaichen.org/, 25
Cristiano Giuffrida, https://www.vusec.net/people/cristiano-giuffrida, 24
Thorsten Holz, https://cispa.de/en/people/c01thho, 23
Wenke Lee, http://wenke.gtisc.gatech.edu/, 23
Gang Wang 0011, http://people.cs.vt.edu/gangwang, 23
Tech, https://tech.cornell.edu/, 23
Dawn Song, https://www2.eecs.berkeley.edu/Faculty/Homepages/song.html, 23
Taesoo Kim, https://taesoo.gtisc.gatech.edu/, 22
Xiaojing Liao, http://www.xiaojingliao.com/, 22
Yan Shoshitaishvili, http://www.yancomm.net/, 22
Neil Zhenqiang Gong, http://people.duke.edu/~zg70, 22
Ahmad-Reza Sadeghi, https://www.trust.informatik.tu-darmstadt.de/people/ahmad-reza-sadeghi, 22
Prateek Mittal, http://www.princeton.edu/~pmittal, 22
Sascha Fahl, https://saschafahl.de/, 21
Dongyan Xu, https://www.cs.purdue.edu/homes/dxu, 21
